# board,CSE142502
# channel,1
# input_range_mv,4000
# impedance_ohm,1000000
# sample_rate,1000000
# samples_per_reading,2000
# rate_hz,10.0
# duration_s,30.0
# start,2026-08-17T15:47:46
# value,mean_v = raw volts at DAQ input. r_v = R in volts = mean_v × 0.02 (SEN full-scale = 20 mV; ±1.0 V output = full scale).
# param:Laser.wavelength,1297.8,cm^-1
# param:Laser.power,0.83,mW
# param:Laser.rep_rate,12458.8,Hz
# param:Laser.pulse_width,100,ns
# param:Lock-in.sensitivity,20 mV
# param:Lock-in.time_constant,3 s
# param:Lock-in.mod_frequency,12458.8,Hz
# param:Gas.gas_type,N2O
# param:Gas.concentration,100,ppm
# param:Gas.adm_pressure,199,torr
# param:General.operator,burak
# param:General.notes,"constant flow, power sweep"
iso_time,epoch_s,elapsed_s,mean_v,std_v,min_v,max_v,n,clipped,r_v
2026-08-17T15:47:49.009,1786970869.010,0.003,1.554547e-01,4.813177e-03,1.396484e-01,1.706543e-01,2000,0,3.109094e-03
2026-08-17T15:47:49.109,1786970869.110,0.103,1.559954e-01,4.656871e-03,1.389160e-01,1.699219e-01,2000,0,3.119907e-03
2026-08-17T15:47:49.209,1786970869.210,0.203,1.563300e-01,4.852084e-03,1.401367e-01,1.684570e-01,2000,0,3.126599e-03
2026-08-17T15:47:49.309,1786970869.310,0.303,1.563251e-01,4.435256e-03,1.386719e-01,1.699219e-01,2000,0,3.126501e-03
2026-08-17T15:47:49.409,1786970869.409,0.403,1.554417e-01,4.655086e-03,1.403809e-01,1.691895e-01,2000,0,3.108833e-03
2026-08-17T15:47:49.509,1786970869.510,0.503,1.555388e-01,4.553045e-03,1.389160e-01,1.667480e-01,2000,0,3.110776e-03
2026-08-17T15:47:49.609,1786970869.610,0.603,1.560980e-01,4.940063e-03,1.394043e-01,1.696777e-01,2000,0,3.121960e-03
2026-08-17T15:47:49.709,1786970869.710,0.703,1.554653e-01,4.847432e-03,1.389160e-01,1.682129e-01,2000,0,3.109307e-03
2026-08-17T15:47:49.809,1786970869.810,0.803,1.561293e-01,4.883899e-03,1.376953e-01,1.691895e-01,2000,0,3.122585e-03
2026-08-17T15:47:49.910,1786970869.910,0.903,1.566542e-01,4.437002e-03,1.408691e-01,1.689453e-01,2000,0,3.133083e-03
2026-08-17T15:47:50.009,1786970870.010,1.003,1.557642e-01,4.948977e-03,1.379395e-01,1.699219e-01,2000,0,3.115283e-03
