# board,CSE142502
# channel,1
# input_range_mv,4000
# impedance_ohm,1000000
# sample_rate,1000000
# samples_per_reading,2000
# rate_hz,10.0
# duration_s,30.0
# start,2026-07-28T15:14:23
# value,mean_v = raw volts at DAQ input. r_v = R in volts = mean_v × 0.2 (SEN full-scale = 200 mV; ±1.0 V output = full scale).
# param:Laser.wavelength,1296,cm^-1
# param:Laser.power,3.33,W
# param:Laser.rep_rate,12458.8,Hz
# param:Laser.pulse_width,500,ns
# param:Lock-in.sensitivity,200 mV
# param:Lock-in.time_constant,3 s
# param:Lock-in.mod_frequency,12458.8,Hz
# param:Gas.gas_type,N2
# param:Gas.concentration,100,%
# param:Gas.adm_pressure,600,torr
# param:General.operator,burak
# param:General.notes,wavelength scan for pure n2
iso_time,epoch_s,elapsed_s,mean_v,std_v,min_v,max_v,n,clipped,r_v
2026-07-28T15:14:26.780,1785240866.780,0.003,5.369495e-02,3.241717e-03,4.345703e-02,6.616211e-02,2000,0,1.073899e-02
2026-07-28T15:14:26.883,1785240866.883,0.103,5.470837e-02,3.718809e-03,4.003906e-02,6.933594e-02,2000,0,1.094167e-02
2026-07-28T15:14:26.985,1785240866.986,0.203,5.396729e-02,3.375649e-03,4.272461e-02,6.640625e-02,2000,0,1.079346e-02
2026-07-28T15:14:27.083,1785240867.083,0.303,5.321069e-02,3.170696e-03,4.345703e-02,6.542969e-02,2000,0,1.064214e-02
2026-07-28T15:14:27.183,1785240867.183,0.403,5.354468e-02,3.328356e-03,4.345703e-02,6.445312e-02,2000,0,1.070894e-02
2026-07-28T15:14:27.283,1785240867.283,0.503,5.381531e-02,3.028572e-03,4.370117e-02,6.372070e-02,2000,0,1.076306e-02
2026-07-28T15:14:27.383,1785240867.383,0.603,5.354065e-02,3.098047e-03,3.515625e-02,6.616211e-02,2000,0,1.070813e-02
2026-07-28T15:14:27.483,1785240867.483,0.703,5.457190e-02,3.198394e-03,4.565430e-02,6.811523e-02,2000,0,1.091438e-02
2026-07-28T15:14:27.583,1785240867.583,0.803,5.439990e-02,3.100310e-03,4.492188e-02,6.689453e-02,2000,0,1.087998e-02
2026-07-28T15:14:27.683,1785240867.683,0.903,5.491565e-02,3.175905e-03,4.516602e-02,6.616211e-02,2000,0,1.098313e-02
2026-07-28T15:14:27.783,1785240867.783,1.003,5.331750e-02,2.648251e-03,4.028320e-02,6.567383e-02,2000,0,1.066350e-02
2026-07-28T15:14:27.883,1785240867.883,1.103,5.521094e-02,2.986253e-03,4.443359e-02,6.713867e-02,2000,0,1.104219e-02
2026-07-28T15:14:27.983,1785240867.983,1.203,5.342407e-02,2.669222e-03,4.541016e-02,6.494141e-02,2000,0,1.068481e-02
2026-07-28T15:14:28.083,1785240868.083,1.303,5.474438e-02,3.072650e-03,4.272461e-02,6.665039e-02,2000,0,1.094888e-02
2026-07-28T15:14:28.183,1785240868.183,1.403,5.447705e-02,2.896036e-03,4.443359e-02,7.006836e-02,2000,0,1.089541e-02
2026-07-28T15:14:28.283,1785240868.283,1.503,5.470361e-02,3.254896e-03,4.150391e-02,6.591797e-02,2000,0,1.094072e-02
2026-07-28T15:14:28.383,1785240868.383,1.603,5.451123e-02,3.133797e-03,4.418945e-02,6.372070e-02,2000,0,1.090225e-02
2026-07-28T15:14:28.484,1785240868.484,1.703,5.474731e-02,3.154246e-03,4.199219e-02,6.933594e-02,2000,0,1.094946e-02
2026-07-28T15:14:28.583,1785240868.583,1.803,5.441431e-02,3.164573e-03,3.833008e-02,6.518555e-02,2000,0,1.088286e-02
2026-07-28T15:14:28.683,1785240868.683,1.903,5.443250e-02,3.278914e-03,4.296875e-02,6.616211e-02,2000,0,1.088650e-02
2026-07-28T15:14:28.783,1785240868.783,2.003,5.420215e-02,3.272740e-03,4.199219e-02,6.567383e-02,2000,0,1.084043e-02
2026-07-28T15:14:28.883,1785240868.883,2.103,5.407324e-02,3.243744e-03,4.321289e-02,6.689453e-02,2000,0,1.081465e-02
2026-07-28T15:14:28.983,1785240868.983,2.203,5.423230e-02,3.354266e-03,4.101562e-02,6.420898e-02,2000,0,1.084646e-02
2026-07-28T15:14:29.083,1785240869.083,2.303,5.469482e-02,3.423432e-03,4.199219e-02,6.689453e-02,2000,0,1.093896e-02
2026-07-28T15:14:29.183,1785240869.183,2.403,5.364111e-02,3.371397e-03,4.248047e-02,6.518555e-02,2000,0,1.072822e-02
2026-07-28T15:14:29.283,1785240869.283,2.503,5.426880e-02,3.523464e-03,4.394531e-02,6.542969e-02,2000,0,1.085376e-02
2026-07-28T15:14:29.383,1785240869.383,2.603,5.457227e-02,3.524643e-03,4.467773e-02,6.469727e-02,2000,0,1.091445e-02
2026-07-28T15:14:29.483,1785240869.483,2.703,5.385791e-02,3.605806e-03,3.979492e-02,6.640625e-02,2000,0,1.077158e-02
2026-07-28T15:14:29.583,1785240869.583,2.803,5.339990e-02,3.769265e-03,4.125977e-02,6.469727e-02,2000,0,1.067998e-02
2026-07-28T15:14:29.683,1785240869.683,2.903,5.337537e-02,3.984112e-03,3.906250e-02,6.665039e-02,2000,0,1.067507e-02
2026-07-28T15:14:29.783,1785240869.783,3.003,5.332654e-02,3.913319e-03,3.637695e-02,6.591797e-02,2000,0,1.066531e-02
2026-07-28T15:14:29.883,1785240869.883,3.103,5.393225e-02,3.807152e-03,4.321289e-02,6.616211e-02,2000,0,1.078645e-02
2026-07-28T15:14:29.985,1785240869.986,3.203,5.454065e-02,3.859227e-03,4.077148e-02,6.689453e-02,2000,0,1.090813e-02
2026-07-28T15:14:30.083,1785240870.083,3.303,5.304639e-02,3.717298e-03,4.125977e-02,6.616211e-02,2000,0,1.060928e-02
2026-07-28T15:14:30.183,1785240870.183,3.403,5.324280e-02,3.773056e-03,4.174805e-02,6.665039e-02,2000,0,1.064856e-02
2026-07-28T15:14:30.283,1785240870.283,3.503,5.409143e-02,3.679464e-03,4.370117e-02,6.738281e-02,2000,0,1.081829e-02
2026-07-28T15:14:30.383,1785240870.383,3.603,5.301550e-02,3.578077e-03,4.150391e-02,6.738281e-02,2000,0,1.060310e-02
2026-07-28T15:14:30.483,1785240870.483,3.703,5.447021e-02,3.565723e-03,4.418945e-02,6.494141e-02,2000,0,1.089404e-02
2026-07-28T15:14:30.583,1785240870.583,3.803,5.321216e-02,3.434827e-03,4.272461e-02,6.958008e-02,2000,0,1.064243e-02
2026-07-28T15:14:30.683,1785240870.683,3.903,5.314758e-02,3.431509e-03,4.101562e-02,6.469727e-02,2000,0,1.062952e-02
2026-07-28T15:14:30.783,1785240870.783,4.003,5.315796e-02,3.632676e-03,4.199219e-02,6.689453e-02,2000,0,1.063159e-02
2026-07-28T15:14:30.883,1785240870.883,4.103,5.367200e-02,3.785826e-03,4.223633e-02,6.640625e-02,2000,0,1.073440e-02
2026-07-28T15:14:30.983,1785240870.983,4.203,5.437573e-02,3.591766e-03,4.296875e-02,6.787109e-02,2000,0,1.087515e-02
2026-07-28T15:14:31.083,1785240871.083,4.303,5.435181e-02,3.427515e-03,4.125977e-02,6.518555e-02,2000,0,1.087036e-02
2026-07-28T15:14:31.183,1785240871.183,4.403,5.308276e-02,3.153336e-03,4.296875e-02,6.298828e-02,2000,0,1.061655e-02
2026-07-28T15:14:31.283,1785240871.283,4.503,5.332739e-02,3.197627e-03,4.345703e-02,6.518555e-02,2000,0,1.066548e-02
2026-07-28T15:14:31.383,1785240871.383,4.603,5.357617e-02,3.317235e-03,4.223633e-02,6.494141e-02,2000,0,1.071523e-02
2026-07-28T15:14:31.483,1785240871.484,4.703,5.290137e-02,3.038988e-03,4.101562e-02,6.176758e-02,2000,0,1.058027e-02
2026-07-28T15:14:31.583,1785240871.583,4.803,5.275574e-02,3.001082e-03,4.296875e-02,6.420898e-02,2000,0,1.055115e-02
2026-07-28T15:14:31.685,1785240871.686,4.903,5.328174e-02,3.192753e-03,4.174805e-02,6.591797e-02,2000,0,1.065635e-02
2026-07-28T15:14:31.783,1785240871.783,5.003,5.339612e-02,3.055727e-03,4.345703e-02,6.591797e-02,2000,0,1.067922e-02
