# board,CSE142502
# channel,1
# input_range_mv,4000
# impedance_ohm,1000000
# sample_rate,1000000
# samples_per_reading,2000
# rate_hz,10.0
# duration_s,30.0
# start,2026-07-28T15:15:09
# value,mean_v = raw volts at DAQ input. r_v = R in volts = mean_v × 0.2 (SEN full-scale = 200 mV; ±1.0 V output = full scale).
# param:Laser.wavelength,1296.1,cm^-1
# param:Laser.power,3.31,W
# param:Laser.rep_rate,12458.8,Hz
# param:Laser.pulse_width,500,ns
# param:Lock-in.sensitivity,200 mV
# param:Lock-in.time_constant,3 s
# param:Lock-in.mod_frequency,12458.8,Hz
# param:Gas.gas_type,N2
# param:Gas.concentration,100,%
# param:Gas.adm_pressure,600,torr
# param:General.operator,burak
# param:General.notes,wavelength scan for pure n2
iso_time,epoch_s,elapsed_s,mean_v,std_v,min_v,max_v,n,clipped,r_v
2026-07-28T15:15:12.214,1785240912.215,0.005,5.135974e-02,3.309641e-03,3.979492e-02,6.372070e-02,2000,0,1.027195e-02
2026-07-28T15:15:12.314,1785240912.315,0.103,5.118225e-02,3.274659e-03,3.906250e-02,6.445312e-02,2000,0,1.023645e-02
2026-07-28T15:15:12.414,1785240912.415,0.203,5.131335e-02,3.248981e-03,3.881836e-02,6.372070e-02,2000,0,1.026267e-02
2026-07-28T15:15:12.514,1785240912.515,0.303,5.082947e-02,3.268235e-03,3.906250e-02,6.127930e-02,2000,0,1.016589e-02
2026-07-28T15:15:12.614,1785240912.615,0.403,5.072412e-02,3.226845e-03,3.833008e-02,6.347656e-02,2000,0,1.014482e-02
2026-07-28T15:15:12.714,1785240912.715,0.503,5.093042e-02,3.287494e-03,3.564453e-02,6.372070e-02,2000,0,1.018608e-02
2026-07-28T15:15:12.816,1785240912.817,0.603,5.024951e-02,3.507319e-03,3.906250e-02,6.469727e-02,2000,0,1.004990e-02
2026-07-28T15:15:12.914,1785240912.915,0.703,5.186804e-02,3.483970e-03,4.125977e-02,6.298828e-02,2000,0,1.037361e-02
2026-07-28T15:15:13.014,1785240913.015,0.803,5.043445e-02,3.345267e-03,3.833008e-02,6.298828e-02,2000,0,1.008689e-02
2026-07-28T15:15:13.114,1785240913.115,0.903,5.145850e-02,3.734553e-03,3.759766e-02,6.372070e-02,2000,0,1.029170e-02
2026-07-28T15:15:13.214,1785240913.215,1.003,5.156982e-02,3.512429e-03,3.930664e-02,6.372070e-02,2000,0,1.031396e-02
2026-07-28T15:15:13.314,1785240913.315,1.103,5.079053e-02,3.290872e-03,3.930664e-02,6.542969e-02,2000,0,1.015811e-02
2026-07-28T15:15:13.414,1785240913.415,1.203,5.179553e-02,3.833300e-03,3.833008e-02,6.445312e-02,2000,0,1.035911e-02
2026-07-28T15:15:13.514,1785240913.515,1.303,5.006494e-02,3.521162e-03,3.955078e-02,6.347656e-02,2000,0,1.001299e-02
2026-07-28T15:15:13.614,1785240913.615,1.403,5.150793e-02,3.477543e-03,3.906250e-02,6.591797e-02,2000,0,1.030159e-02
2026-07-28T15:15:13.714,1785240913.715,1.503,5.203601e-02,3.618046e-03,4.003906e-02,6.494141e-02,2000,0,1.040720e-02
2026-07-28T15:15:13.814,1785240913.815,1.603,5.068652e-02,3.411043e-03,4.077148e-02,6.372070e-02,2000,0,1.013730e-02
2026-07-28T15:15:13.914,1785240913.915,1.703,5.215576e-02,3.656450e-03,3.808594e-02,6.591797e-02,2000,0,1.043115e-02
2026-07-28T15:15:14.014,1785240914.015,1.803,5.085498e-02,3.445323e-03,4.028320e-02,6.201172e-02,2000,0,1.017100e-02
2026-07-28T15:15:14.114,1785240914.115,1.903,5.143066e-02,3.707574e-03,3.881836e-02,6.616211e-02,2000,0,1.028613e-02
2026-07-28T15:15:14.216,1785240914.216,2.003,5.076392e-02,3.263174e-03,4.101562e-02,6.323242e-02,2000,0,1.015278e-02
2026-07-28T15:15:14.314,1785240914.315,2.103,5.138477e-02,3.740137e-03,4.028320e-02,6.689453e-02,2000,0,1.027695e-02
2026-07-28T15:15:14.414,1785240914.415,2.203,5.199426e-02,3.733121e-03,3.881836e-02,6.518555e-02,2000,0,1.039885e-02
2026-07-28T15:15:14.514,1785240914.515,2.303,5.086377e-02,3.789907e-03,3.906250e-02,6.933594e-02,2000,0,1.017275e-02
2026-07-28T15:15:14.614,1785240914.615,2.403,5.170349e-02,3.586142e-03,3.833008e-02,6.420898e-02,2000,0,1.034070e-02
2026-07-28T15:15:14.714,1785240914.715,2.503,5.179907e-02,3.630285e-03,4.052734e-02,6.396484e-02,2000,0,1.035981e-02
2026-07-28T15:15:14.814,1785240914.815,2.603,5.085498e-02,3.850515e-03,3.808594e-02,6.567383e-02,2000,0,1.017100e-02
2026-07-28T15:15:14.914,1785240914.915,2.703,5.151855e-02,3.726610e-03,3.710938e-02,6.201172e-02,2000,0,1.030371e-02
2026-07-28T15:15:15.014,1785240915.015,2.803,5.030603e-02,4.146099e-03,3.613281e-02,6.323242e-02,2000,0,1.006121e-02
2026-07-28T15:15:15.114,1785240915.115,2.903,5.066272e-02,3.765309e-03,3.662109e-02,6.469727e-02,2000,0,1.013254e-02
2026-07-28T15:15:15.214,1785240915.214,3.003,5.077734e-02,3.861389e-03,3.710938e-02,6.396484e-02,2000,0,1.015547e-02
2026-07-28T15:15:15.314,1785240915.315,3.103,5.229541e-02,3.905832e-03,3.979492e-02,6.640625e-02,2000,0,1.045908e-02
2026-07-28T15:15:15.414,1785240915.415,3.203,5.251123e-02,4.231258e-03,3.930664e-02,6.567383e-02,2000,0,1.050225e-02
2026-07-28T15:15:15.514,1785240915.515,3.303,5.016150e-02,3.788277e-03,3.735352e-02,6.127930e-02,2000,0,1.003230e-02
2026-07-28T15:15:15.615,1785240915.615,3.403,5.165283e-02,4.103939e-03,3.979492e-02,6.518555e-02,2000,0,1.033057e-02
2026-07-28T15:15:15.714,1785240915.715,3.503,5.148279e-02,4.115667e-03,3.735352e-02,6.616211e-02,2000,0,1.029656e-02
