# board,CSE142502
# channel,1
# input_range_mv,4000
# impedance_ohm,1000000
# sample_rate,1000000
# samples_per_reading,2000
# rate_hz,10.0
# duration_s,30.0
# start,2026-08-03T16:16:30
# value,mean_v = raw volts at DAQ input. r_v = R in volts = mean_v × 0.2 (SEN full-scale = 200 mV; ±1.0 V output = full scale).
# param:Laser.wavelength,1296.2,cm^-1
# param:Laser.power,3.22,mW
# param:Laser.rep_rate,12458.8,Hz
# param:Laser.pulse_width,500,ns
# param:Lock-in.sensitivity,200 mV
# param:Lock-in.time_constant,3 s
# param:Lock-in.mod_frequency,12458.8,Hz
# param:Gas.gas_type,N2
# param:Gas.concentration,100,%
# param:Gas.adm_pressure,197,torr
# param:General.operator,burak
# param:General.notes,constant flow
iso_time,epoch_s,elapsed_s,mean_v,std_v,min_v,max_v,n,clipped,r_v
2026-08-03T16:16:33.187,1785762993.187,0.003,2.985876e-02,2.522902e-03,2.075195e-02,3.906250e-02,2000,0,5.971753e-03
2026-08-03T16:16:33.291,1785762993.292,0.103,3.070300e-02,2.545330e-03,1.928711e-02,4.296875e-02,2000,0,6.140601e-03
2026-08-03T16:16:33.392,1785762993.393,0.203,3.073486e-02,2.507289e-03,2.075195e-02,4.150391e-02,2000,0,6.146973e-03
2026-08-03T16:16:33.493,1785762993.494,0.303,3.059644e-02,2.626738e-03,2.124023e-02,4.003906e-02,2000,0,6.119287e-03
2026-08-03T16:16:33.593,1785762993.594,0.403,3.066711e-02,2.685384e-03,1.855469e-02,4.003906e-02,2000,0,6.133423e-03
2026-08-03T16:16:33.693,1785762993.694,0.503,3.070593e-02,2.614361e-03,1.831055e-02,3.955078e-02,2000,0,6.141187e-03
2026-08-03T16:16:33.793,1785762993.794,0.603,3.046216e-02,2.597666e-03,2.026367e-02,4.028320e-02,2000,0,6.092432e-03
2026-08-03T16:16:33.891,1785762993.891,0.703,2.964233e-02,2.621470e-03,2.099609e-02,3.784180e-02,2000,0,5.928467e-03
2026-08-03T16:16:33.993,1785762993.993,0.803,3.046692e-02,2.657854e-03,2.075195e-02,4.028320e-02,2000,0,6.093384e-03
2026-08-03T16:16:34.093,1785762994.094,0.903,3.032678e-02,2.714540e-03,2.050781e-02,4.077148e-02,2000,0,6.065356e-03
2026-08-03T16:16:34.193,1785762994.194,1.003,3.005298e-02,2.804841e-03,1.904297e-02,3.955078e-02,2000,0,6.010596e-03
2026-08-03T16:16:34.293,1785762994.293,1.103,3.064807e-02,2.823271e-03,1.977539e-02,4.125977e-02,2000,0,6.129614e-03
2026-08-03T16:16:34.391,1785762994.391,1.203,3.016089e-02,2.637617e-03,1.953125e-02,3.955078e-02,2000,0,6.032178e-03
2026-08-03T16:16:34.493,1785762994.494,1.303,3.046533e-02,3.050666e-03,2.050781e-02,4.028320e-02,2000,0,6.093066e-03
2026-08-03T16:16:34.593,1785762994.593,1.403,3.087720e-02,2.670448e-03,2.050781e-02,4.028320e-02,2000,0,6.175439e-03
2026-08-03T16:16:34.693,1785762994.694,1.503,3.061816e-02,2.906732e-03,1.855469e-02,4.370117e-02,2000,0,6.123633e-03
