# board,CSE142502
# channel,1
# input_range_mv,4000
# impedance_ohm,1000000
# sample_rate,1000000
# samples_per_reading,2000
# rate_hz,10.0
# duration_s,30.0
# start,2026-08-03T16:26:19
# value,mean_v = raw volts at DAQ input. r_v = R in volts = mean_v × 0.2 (SEN full-scale = 200 mV; ±1.0 V output = full scale).
# param:Laser.wavelength,1297.1,cm^-1
# param:Laser.power,3.2,mW
# param:Laser.rep_rate,12458.8,Hz
# param:Laser.pulse_width,500,ns
# param:Lock-in.sensitivity,200 mV
# param:Lock-in.time_constant,3 s
# param:Lock-in.mod_frequency,12458.8,Hz
# param:Gas.gas_type,N2O
# param:Gas.concentration,100,ppm
# param:Gas.adm_pressure,197,torr
# param:General.operator,burak
# param:General.notes,constant flow
iso_time,epoch_s,elapsed_s,mean_v,std_v,min_v,max_v,n,clipped,r_v
2026-08-03T16:26:22.800,1785763582.801,0.004,5.531714e-02,2.857934e-03,4.565430e-02,6.420898e-02,2000,0,1.106343e-02
2026-08-03T16:26:22.903,1785763582.904,0.103,5.562976e-02,2.893090e-03,4.492188e-02,6.445312e-02,2000,0,1.112595e-02
2026-08-03T16:26:23.003,1785763583.004,0.203,5.553784e-02,2.953110e-03,4.418945e-02,6.494141e-02,2000,0,1.110757e-02
2026-08-03T16:26:23.103,1785763583.103,0.303,5.578162e-02,2.977551e-03,4.492188e-02,7.055664e-02,2000,0,1.115632e-02
2026-08-03T16:26:23.203,1785763583.204,0.403,5.582788e-02,3.044021e-03,4.663086e-02,6.689453e-02,2000,0,1.116558e-02
2026-08-03T16:26:23.305,1785763583.306,0.503,5.556213e-02,3.125441e-03,4.638672e-02,6.884766e-02,2000,0,1.111243e-02
2026-08-03T16:26:23.403,1785763583.404,0.603,5.581226e-02,3.128170e-03,4.614258e-02,6.689453e-02,2000,0,1.116245e-02
2026-08-03T16:26:23.503,1785763583.504,0.703,5.616516e-02,3.146145e-03,4.077148e-02,6.738281e-02,2000,0,1.123303e-02
2026-08-03T16:26:23.603,1785763583.604,0.803,5.570679e-02,3.067075e-03,4.614258e-02,6.835938e-02,2000,0,1.114136e-02
2026-08-03T16:26:23.703,1785763583.704,0.903,5.587817e-02,2.991842e-03,4.516602e-02,6.665039e-02,2000,0,1.117563e-02
2026-08-03T16:26:23.803,1785763583.804,1.003,5.592615e-02,3.162522e-03,4.418945e-02,6.689453e-02,2000,0,1.118523e-02
2026-08-03T16:26:23.903,1785763583.904,1.103,5.545288e-02,3.006944e-03,4.638672e-02,6.591797e-02,2000,0,1.109058e-02
2026-08-03T16:26:24.003,1785763584.004,1.203,5.579492e-02,3.140750e-03,4.565430e-02,6.567383e-02,2000,0,1.115898e-02
2026-08-03T16:26:24.103,1785763584.104,1.303,5.602954e-02,2.995666e-03,4.443359e-02,6.518555e-02,2000,0,1.120591e-02
2026-08-03T16:26:24.203,1785763584.204,1.403,5.530225e-02,3.095860e-03,4.418945e-02,6.420898e-02,2000,0,1.106045e-02
2026-08-03T16:26:24.305,1785763584.306,1.503,5.595654e-02,3.185813e-03,4.443359e-02,6.640625e-02,2000,0,1.119131e-02
2026-08-03T16:26:24.405,1785763584.406,1.603,5.582507e-02,3.157896e-03,4.516602e-02,6.542969e-02,2000,0,1.116501e-02
2026-08-03T16:26:24.505,1785763584.506,1.703,5.536792e-02,3.016897e-03,4.443359e-02,6.689453e-02,2000,0,1.107358e-02
2026-08-03T16:26:24.605,1785763584.606,1.803,5.558081e-02,3.164224e-03,4.370117e-02,6.616211e-02,2000,0,1.111616e-02
